"velo","horz_break","vert_break","spin_rate"
88.1,-0.9852,0.4493,1423
96.8,-0.7534,1.3498,2219
98.3,-0.582,1.3491,2415
98.2,-0.5936,1.1445,2156
88.7,0.6305,-0.1175,2705
87.5,0.5038,-0.2299,2705
98.7,-0.392,1.4754,2309
98.3,-0.7243,1.3525,2201
99.3,-0.5049,1.3306,2313
98.3,-0.7112,1.3792,2335
98.5,-0.7124,1.3629,2423
87.3,-1.0873,0.7533,1550
97.5,-0.5828,1.2718,2294
90.8,0.5726,0.0055,2584
98,-0.6937,1.208,2274
90,0.5198,0.1138,2733
98,-0.3173,1.2571,2271
97.9,-0.738,1.2889,2419
98,-0.5999,1.2812,2396
97.4,-0.7158,1.2454,2308
91.1,0.5455,0.4336,2531
99,-0.7621,1.255,2278
89.5,0.5709,-0.1086,2648
97.9,-0.5723,1.3639,2284
97.7,-0.5185,1.2733,2306
97.9,-0.6537,1.2902,2300
91.5,0.8002,-0.0852,2755
99.5,-0.4279,1.1883,2381
97.7,-0.4999,1.224,2322
89.5,-0.9425,0.8675,1584
88.9,0.9353,-0.1986,2864
90.5,1.0296,-0.0688,2948
90.7,0.7017,0.0183,NA
98,-0.3867,1.3109,2238
98.5,-0.7258,1.2318,2305
88.3,0.5218,-0.1619,2772
89.1,-1.057,0.5631,1543
97.7,-0.718,1.2298,2263
98,-0.6179,1.2756,2392
97.3,-0.7075,1.1412,2265
96.6,-0.7357,1.3893,2298
97.7,-0.4941,1.1631,2320
89.8,-0.9532,0.9006,1627
89.8,0.676,-0.1364,2818
91.2,0.5721,0.3194,2562
97,-0.593,1.3687,2265
96.6,-0.5176,1.3729,2272
99.1,-0.6214,1.3855,2326
88.3,0.8593,0.3604,2803
97.9,-0.5409,1.4334,2296
88.6,-1.1348,0.7739,1577
88.3,0.6037,0.0128,NA
96.7,-0.5858,1.5547,2282
87.3,-0.5825,1.0944,1579
95.5,-0.5739,1.2994,2258
98.8,-0.4647,1.3482,2271
97.9,-0.5204,1.3314,2378
97.3,-0.5955,1.2594,2205
97.8,-0.4521,1.3475,2355
89.1,-1.126,0.2407,1532
89.4,-0.8153,0.9324,1537
96.8,-0.3816,1.3808,2316
89.3,0.7918,-0.0248,2772
96.7,-0.6089,1.2992,2460
96.3,-0.6099,1.4211,2360
98.3,-0.9119,1.3485,2502
97.9,-0.7866,1.5484,2469
97.8,-0.8598,1.3394,2374
88.3,0.8072,-0.1063,2942
97.2,-0.697,1.2866,2303
86.9,1.2047,0.0642,2897
88.3,0.8205,-0.0637,2954
88.5,0.9649,0.1734,2956
98.2,-0.5466,1.4033,2457
98,-0.6041,1.5289,2421
88,0.829,-0.1195,2897
88.2,0.9817,-0.1062,NA
88.4,0.9432,-0.1288,2870
89.2,0.5648,0.1451,2571
89,-0.9232,0.6979,1581
89.6,-0.8821,0.8794,1590
97.2,-0.5164,1.4159,2380
96.5,-0.8439,1.1688,2374
95.7,-0.7783,1.2495,2315
88.5,0.7602,-0.1943,2877
97.7,-0.6257,1.1483,2325
97.5,-0.6034,1.1492,2269
96.3,-0.3574,1.2953,2305
96.8,-0.4426,1.2715,2186
97.4,-0.4428,1.4426,2268
97.3,-0.4968,1.2718,2525
97.3,-0.7133,1.3604,2404
91.2,-1.1838,0.4493,1640
97.9,-0.4369,1.3158,2392
97.5,-0.7574,1.3296,2382
96.6,-0.8174,1.4337,2480
97.4,-0.6739,1.4272,2420
97.5,-0.7123,1.4023,2449
89.6,0.605,-0.0542,NA
98.2,-0.7077,1.436,2354
88.1,0.6483,-0.1836,NA
97.7,-0.3945,1.3997,2258
98.1,-0.5617,1.2759,2431
98.3,0.038,1.2612,2495
87.7,1.1138,-0.0732,2873
87.6,0.6831,-0.0126,2554
89.4,-1.041,1.0694,1626
97.1,-0.4045,1.5396,2364
86.3,0.6567,-0.1309,2692
85.2,1.1948,-0.0115,2903
89.8,-1.2541,0.6909,1589
88.8,-1.0206,0.5946,1555
97.4,-0.3934,1.2033,2366
86.6,0.3479,-0.0728,2602
88.4,0.3078,0.1888,2672
99.5,-0.475,1.256,2396
89.4,0.6758,-0.1461,2803
99.1,-0.4883,1.4471,2371
89.6,0.6062,0.0411,2697
97.5,-0.698,1.4178,2357
89.1,0.7563,0.1205,2694
97.7,-0.5248,1.3044,2284
88.5,0.8519,-0.1904,2704
97.8,-0.5117,1.2997,2352
97.5,-0.2021,1.4896,2413
87.5,-1.0563,0.6377,1626
86.7,1.1573,-0.1902,2945
89.7,0.6804,-0.0981,2714
98.7,-0.6274,1.4401,2395
90.2,-1.0524,0.9048,1567
99.2,-0.377,1.5171,2478
90.1,-1.1889,0.7262,1669
90,0.519,-0.0174,2849
98.9,-0.565,1.4266,2340
97.4,-0.7484,1.4418,2478
89.5,0.9141,0.3817,NA
93.9,0.5402,0.5823,2495
99.1,-0.6471,1.4082,2415
98.1,-0.6052,1.4339,2414
96.9,-0.5617,1.4479,2436
87.6,0.9348,-0.4443,2819
98.7,-0.6964,1.2323,2308
88.9,0.6346,-0.2942,2813
87,0.6827,-0.2118,2813
88.4,0.8162,-0.2906,2780
96.9,-0.4284,1.4251,2327
88.4,0.5751,-0.2519,2815
89.2,-1.112,0.8461,1754
96,-0.2978,1.2901,2198
96.2,-0.4826,1.1877,2251
88.4,-1.2108,0.4763,3222
96.9,-0.531,1.36,2313
95.9,-0.5055,1.4247,2295
96.5,-0.3974,1.3541,2245
85.3,0.8764,-0.1572,2686
89.1,-1.1219,0.7372,1504
97.5,-0.2751,1.6007,2344
89.7,0.6041,-0.1719,2821
85.8,0.8188,-0.4164,NA
89.7,0.6507,0.0315,2722
97,-0.3708,1.4349,2362
88.6,0.9103,-0.1652,NA
96.4,-0.2777,1.3577,2353
97.2,-0.3257,1.4395,2312
98,-0.4347,1.3873,2463
87.6,0.9425,0.1089,2863
89.8,-1.056,0.9612,1637
90.1,0.634,0.1041,NA
96.5,-0.6262,1.361,2359
97,-0.6211,1.3752,2367
96,-0.5258,1.2415,2324
96.6,-0.8256,1.4965,2408
88.4,0.6081,-0.0339,2742
88.1,0.495,-0.1678,2800
86.5,0.689,-0.2062,NA
96.8,-0.3546,1.3822,2213
87.4,0.652,-0.0739,NA
90,0.6305,-0.0589,1365
90.2,0.6244,0.1433,966
95.6,-0.4736,1.3682,2252
96.9,-0.3515,1.4472,2475
87.6,0.8864,-0.3358,2809
96.4,-0.2953,1.1947,2186
88.6,-1.2083,1.0172,1555
87.8,0.866,0.0065,2759
88.2,0.5595,0.1729,2529
88.8,-0.9267,1.2745,1631
88.6,0.7451,0.1009,2610
95.3,-0.2318,1.4235,2308
94.8,-0.3876,1.3366,2286
96,-0.589,1.4263,2331
96.6,-0.4904,1.3661,2352
96.3,-0.4364,1.2883,2306
89.2,0.6865,0.1979,2764
95.6,-0.5829,1.4895,2312
96.2,-0.5814,1.3062,2332
97.8,-0.3392,1.1273,2256
88.9,0.614,-0.1902,2877
98.6,-0.2102,1.2611,2328
89.9,0.9647,-0.1732,2867
88.4,0.9138,-0.4074,2964
88.5,1.1006,-0.199,2824
89.8,0.7103,-0.0293,2812
97.4,-0.4091,1.1172,2308
87.8,0.7782,-0.3872,2632
89.8,0.8958,0.0899,NA
95.3,-0.4584,1.2269,2190
97.1,-0.5847,1.29,2359
97.2,-0.3901,1.3362,2421
95.6,-0.3956,1.3744,2257
88.7,0.6861,6e-04,2814
89,0.7684,0.2105,2800
97.9,-0.521,1.3579,2454
87.2,0.9403,-0.1932,2992
86.3,0.8702,-0.2429,2991
88.3,0.8008,-0.3009,3023
89.4,0.7101,-0.3281,2969
98.5,-0.3648,1.4488,2458
98.3,-0.5656,1.2898,2455
92.2,-1.0047,0.7802,1699
92,-0.7385,1.1374,1618
97.2,-0.495,1.3694,2329
97,-0.1824,1.4864,2362
87.9,0.7745,-0.1773,2890
95.6,-0.4337,1.5795,2464
98.1,-0.5283,1.4037,2418
97.9,-0.5323,1.4988,2535
97.8,-0.5452,1.4238,2473
87.1,0.6539,-0.1422,3088
96.7,-0.3105,1.3367,2342
97,-0.4939,1.4355,2309
96.4,-0.5892,1.257,2410
97.8,-0.5771,1.317,2436
