pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
453286,R,FF,4-Seam Fastball,93.2,2424,-1.0424,1.0626,-3.7238,4.9795,6.017,0.4044,1.8872,12.7469,-135.1101,-4.4381,-15.2681,27.4551,-18.5641
607536,L,CU,Curveball,82,2362,0.0152,0.1691,1.8233,5.6692,6.003,0.7452,2.5395,-2.4521,-119.3114,-0.7654,0.6713,25.7458,-30.6887
607536,L,SL,Slider,88.1,2160,-0.1059,0.5537,1.8263,5.6504,6.137,-0.0641,2.5764,-4.3645,-128.3313,-2.5442,-0.3061,25.2682,-25.795
607536,L,FT,2-Seam Fastball,92.1,2225,1.2531,0.5106,1.72,5.8817,6.099,1.3998,2.1395,-3.4913,-134.0185,-4.7752,15.7367,27.5776,-25.289
607536,L,FF,4-Seam Fastball,91.2,2261,0.6844,1.381,1.4809,6.2303,6.025,-0.5056,2.8743,-6.404,-132.5291,-5.4571,9.2992,26.778,-15.1379
607536,L,FT,2-Seam Fastball,90.5,2253,1.2979,0.5222,1.837,5.8673,6.204,1.3892,2.2443,-3.8655,-131.7566,-4.2,15.8517,28.5539,-25.4491
607536,L,SL,Slider,85.9,2188,-0.2569,0.5581,1.9385,5.8308,6.167,0.8019,3.4238,-2.1723,-125.142,-0.5823,-2.2434,25.2418,-26.4553
607536,L,FF,4-Seam Fastball,90.8,2210,0.7334,1.2065,1.4965,6.2097,6.065,-0.1783,2.2692,-5.7146,-132.0468,-6.4859,9.6833,26.8621,-17.0562
453286,R,CH,Changeup,85.7,1212,-1.1013,0.1919,-3.6411,5.2581,6.215,-0.8982,1.647,8.6606,-124.4563,-2.6157,-13.1223,24.8975,-29.8869
453286,R,FF,4-Seam Fastball,96.1,2266,-0.6861,1.0459,-3.6474,4.9285,6.474,-0.5833,3.8959,9.7014,-139.6976,0.5155,-11.2785,33.0276,-18.8186
453286,R,FF,4-Seam Fastball,95.8,2450,-0.7716,1.2888,-3.7671,4.8678,6.405,-0.1313,3.2525,11.3467,-139.1123,-1.5282,-12.6487,32.4285,-15.3283
